Race, Gender, Age, Education (0 = no college, 1 = bachelors, 2 = graduate), Living, Party
Hispanic, Female, 60, 0, Urban,D
Hispanic, Female, 69, 2, Suburban,D
Black, Male, 65, 0, Suburban,D
Hispanic, Male, 24, 2, Rural,R
Hispanic, Male, 54, 2, Urban,D
White, Male, 71, 2, Rural,R
Asian, Male, 30, 0, Rural,R
Asian, Male, 48, 1, Rural,D
Hispanic, Male, 43, 1, Rural,D
Hispanic, Male, 37, 0, Suburban,R
White, Female, 21, 1, Urban,D
Asian, Male, 66, 2, Urban,R
Black, Male, 75, 0, Suburban,D
Asian, Female, 18, 1, Rural,R
White, Male, 23, 2, Rural,R
Asian, Male, 51, 0, Urban,D
Black, Male, 57, 1, Suburban,R
Black, Female, 29, 2, Suburban,D
White, Female, 34, 2, Rural,R
Hispanic, Female, 51, 1, Rural,R
White, Male, 42, 1, Rural,R
Hispanic, Male, 67, 2, Urban,D
Black, Female, 54, 2, Urban,D
Hispanic, Female, 63, 0, Rural,R
Black, Male, 47, 1, Suburban,R
White, Male, 50, 2, Suburban,R
White, Female, 34, 0, Urban,R
Hispanic, Male, 63, 0, Suburban,D
Black, Male, 72, 1, Urban,R
Black, Male, 76, 1, Urban,R
Hispanic, Male, 27, 1, Urban,D
Black, Female, 77, 1, Urban,R
Black, Female, 73, 1, Suburban,D
Black, Female, 28, 0, Rural,R
Hispanic, Male, 72, 1, Urban,R
Hispanic, Male, 39, 1, Suburban,D
White, Male, 33, 2, Urban,D
White, Female, 29, 0, Rural,R
Asian, Male, 19, 0, Rural,R
Hispanic, Male, 57, 2, Urban,D
Hispanic, Female, 71, 0, Urban,R
Black, Female, 55, 2, Rural,R
White, Female, 46, 2, Rural,R
Hispanic, Male, 70, 1, Suburban,D
Hispanic, Male, 29, 1, Rural,R
White, Female, 73, 1, Urban,D
Asian, Female, 29, 2, Suburban,R
White, Female, 70, 0, Urban,D
Asian, Male, 20, 0, Rural,D
Hispanic, Male, 76, 2, Rural,R
Hispanic, Female, 56, 2, Urban,D
White, Female, 40, 0, Suburban,D
Black, Female, 35, 1, Rural,D
White, Male, 45, 2, Rural,D
Black, Male, 80, 0, Urban,D
Black, Female, 28, 1, Urban,D
Hispanic, Female, 20, 2, Rural,D
White, Male, 61, 2, Rural,D
Asian, Female, 76, 2, Urban,D
Black, Male, 36, 2, Urban,R
Asian, Female, 74, 0, Rural,R
White, Female, 69, 2, Urban,D
White, Female, 53, 1, Rural,R
White, Male, 21, 2, Urban,D
Black, Female, 41, 2, Rural,D
White, Male, 65, 1, Rural,D
Asian, Male, 60, 0, Urban,R
Asian, Male, 19, 2, Rural,D
White, Male, 40, 0, Rural,R
Asian, Female, 75, 1, Urban,R
White, Female, 42, 2, Suburban,D
Black, Female, 40, 2, Suburban,D
Black, Male, 56, 0, Rural,R
Asian, Male, 22, 1, Rural,R
Black, Female, 63, 1, Urban,D
Asian, Female, 39, 2, Rural,D
Black, Female, 55, 2, Suburban,D
Hispanic, Female, 58, 2, Suburban,R
Black, Male, 54, 1, Rural,D
Hispanic, Female, 80, 0, Urban,D
Black, Male, 40, 0, Rural,R
White, Female, 70, 2, Suburban,D
White, Female, 34, 1, Suburban,R
White, Female, 39, 2, Suburban,R
Asian, Female, 29, 0, Suburban,D
Black, Female, 63, 1, Rural,R
Asian, Female, 23, 2, Urban,D
White, Female, 21, 1, Suburban,D
White, Female, 46, 1, Urban,D
Asian, Female, 26, 1, Rural,D
Hispanic, Male, 58, 2, Urban,D
White, Male, 74, 2, Urban,D
Asian, Male, 73, 1, Suburban,D
Asian, Male, 30, 0, Urban,D
White, Female, 80, 0, Rural,R
White, Female, 68, 2, Urban,D
Asian, Male, 58, 2, Rural,D
Hispanic, Male, 79, 2, Urban,D
Asian, Female, 46, 1, Suburban,R
Hispanic, Female, 76, 2, Urban,R
White, Female, 51, 2, Urban,R
Black, Female, 69, 0, Suburban,R
Black, Male, 34, 0, Rural,R
Hispanic, Female, 58, 0, Suburban,D
Asian, Female, 56, 0, Urban,R
Black, Female, 70, 1, Urban,D
White, Male, 53, 2, Urban,D
Black, Female, 30, 2, Rural,R
Hispanic, Male, 69, 2, Suburban,R
White, Female, 32, 1, Urban,R
White, Female, 68, 1, Urban,D
Hispanic, Female, 79, 2, Urban,R
White, Female, 55, 2, Urban,D
Black, Male, 39, 0, Rural,R
White, Female, 73, 2, Rural,R
Black, Male, 52, 2, Suburban,R
White, Male, 23, 1, Urban,R
Asian, Male, 43, 2, Urban,R
Asian, Male, 75, 1, Suburban,D
Black, Female, 60, 1, Rural,R
Black, Female, 57, 2, Suburban,R
Asian, Male, 54, 2, Rural,D
White, Male, 51, 1, Suburban,D
Hispanic, Male, 22, 1, Suburban,D
White, Male, 56, 0, Rural,R
Asian, Female, 76, 0, Urban,R
White, Male, 21, 2, Rural,D
Asian, Female, 27, 0, Suburban,D
White, Male, 72, 1, Suburban,R
White, Male, 48, 1, Rural,D
Black, Female, 70, 2, Urban,R
White, Female, 77, 1, Rural,R
Hispanic, Female, 66, 1, Rural,D
Hispanic, Male, 32, 0, Urban,R
White, Male, 46, 1, Rural,D
Black, Female, 59, 0, Suburban,D
Asian, Female, 59, 2, Rural,R
Black, Female, 32, 2, Rural,D
Hispanic, Male, 22, 1, Rural,D
White, Female, 33, 1, Rural,D
Hispanic, Female, 25, 2, Rural,D
Hispanic, Male, 25, 2, Rural,R
Asian, Male, 25, 0, Rural,R
White, Male, 68, 1, Rural,R
White, Female, 28, 2, Urban,R
White, Male, 63, 1, Rural,R
White, Male, 31, 1, Suburban,R
Asian, Male, 65, 0, Suburban,R
Asian, Female, 24, 1, Rural,D
Black, Male, 50, 0, Urban,R
White, Female, 57, 2, Suburban,D
Black, Female, 43, 0, Urban,R
Black, Female, 45, 0, Suburban,D
White, Male, 38, 0, Suburban,D
Asian, Female, 49, 1, Rural,R
White, Male, 18, 1, Suburban,R
Hispanic, Male, 44, 2, Rural,R
Hispanic, Female, 45, 0, Urban,R
Black, Female, 35, 2, Suburban,R
Black, Female, 75, 2, Urban,D
White, Male, 67, 0, Urban,D
White, Female, 77, 1, Urban,R
Hispanic, Male, 21, 1, Urban,R
Black, Male, 67, 0, Urban,R
White, Male, 45, 1, Suburban,R
Black, Female, 36, 2, Urban,R
Hispanic, Male, 41, 1, Urban,R
Hispanic, Male, 19, 0, Urban,D
White, Male, 41, 2, Suburban,D
Hispanic, Male, 57, 1, Suburban,R
Hispanic, Female, 51, 0, Suburban,R
White, Female, 57, 0, Suburban,R
Hispanic, Male, 45, 0, Rural,D
Hispanic, Male, 40, 1, Suburban,R
White, Female, 56, 1, Urban,D
White, Female, 68, 0, Suburban,R
Hispanic, Male, 40, 0, Urban,R
Black, Male, 62, 2, Urban,D
White, Female, 23, 2, Urban,D
White, Male, 80, 1, Rural,R
Black, Female, 51, 0, Suburban,D
Hispanic, Male, 78, 2, Urban,D
White, Male, 32, 1, Suburban,R
Black, Male, 39, 2, Rural,R
Asian, Female, 66, 2, Suburban,D
Asian, Female, 71, 0, Suburban,D
Black, Female, 54, 0, Suburban,D
White, Female, 79, 1, Rural,R
Hispanic, Male, 39, 0, Suburban,D
Hispanic, Male, 61, 2, Rural,D
Asian, Female, 18, 2, Urban,R
White, Male, 51, 1, Suburban,R
Hispanic, Female, 70, 0, Rural,R
Black, Male, 29, 2, Urban,D
Asian, Male, 54, 1, Rural,D
Hispanic, Female, 71, 0, Urban,D
Black, Male, 64, 0, Suburban,D
Black, Female, 19, 2, Urban,D
Black, Male, 80, 1, Suburban,R
Hispanic, Female, 74, 1, Rural,D
Black, Female, 48, 2, Suburban,D
Black, Male, 78, 0, Urban,D
Hispanic, Female, 55, 0, Rural,R
Asian, Female, 33, 2, Rural,D
Black, Female, 19, 0, Rural,R
Black, Female, 34, 2, Rural,D
Hispanic, Male, 19, 2, Rural,D
White, Male, 43, 0, Suburban,R
White, Female, 43, 0, Urban,D
Black, Male, 53, 2, Rural,D
Black, Female, 72, 1, Suburban,D
Black, Female, 71, 1, Suburban,D
Black, Male, 21, 1, Urban,R
Black, Male, 44, 2, Urban,R
Black, Male, 47, 2, Urban,D
Asian, Male, 69, 0, Rural,R
Black, Male, 33, 2, Rural,R
White, Female, 27, 1, Rural,R
Black, Female, 74, 2, Rural,R
Hispanic, Female, 40, 2, Suburban,D
Black, Male, 40, 2, Suburban,R
Black, Male, 21, 2, Suburban,R
Asian, Female, 48, 1, Urban,R
Black, Female, 57, 1, Urban,D
White, Female, 50, 1, Rural,D
White, Male, 48, 2, Rural,D
Black, Male, 72, 0, Rural,D
Asian, Male, 34, 2, Rural,R
White, Female, 79, 2, Suburban,D
Asian, Female, 39, 0, Suburban,R
Asian, Male, 54, 1, Suburban,D
Hispanic, Female, 51, 0, Rural,R
Black, Female, 32, 2, Suburban,D
Hispanic, Female, 70, 2, Rural,R
Black, Male, 57, 2, Suburban,R
Asian, Female, 25, 0, Suburban,R
Hispanic, Female, 39, 0, Urban,D
Hispanic, Female, 57, 1, Suburban,R
Asian, Female, 42, 2, Suburban,R
White, Female, 61, 2, Rural,R
White, Male, 71, 2, Suburban,R
Black, Male, 24, 0, Suburban,D
Hispanic, Male, 76, 2, Suburban,R
White, Female, 58, 2, Rural,D
White, Female, 42, 2, Suburban,R
Black, Female, 54, 0, Urban,D
Asian, Female, 79, 0, Rural,R
Asian, Female, 22, 0, Suburban,R
Asian, Male, 48, 2, Suburban,R
Black, Male, 63, 0, Rural,D
White, Male, 44, 0, Rural,R
Black, Female, 35, 2, Rural,D
White, Male, 33, 1, Urban,R
Black, Male, 29, 0, Urban,D
Hispanic, Female, 43, 1, Rural,D
White, Male, 79, 2, Urban,D
Asian, Female, 23, 1, Rural,D
Asian, Female, 21, 1, Suburban,R
Hispanic, Male, 48, 2, Rural,R
Black, Female, 57, 2, Suburban,R
Hispanic, Female, 53, 0, Urban,D
Asian, Female, 50, 2, Urban,R
Asian, Male, 75, 1, Rural,R
Asian, Female, 34, 2, Rural,R
Asian, Female, 64, 1, Rural,D
Asian, Male, 48, 1, Suburban,R
Hispanic, Female, 51, 0, Urban,R
Hispanic, Female, 63, 1, Rural,D
White, Male, 76, 0, Rural,D
Asian, Male, 22, 1, Rural,D
Hispanic, Female, 44, 2, Rural,D
Asian, Male, 39, 1, Rural,D
White, Male, 38, 2, Rural,R
Hispanic, Female, 75, 2, Urban,R
White, Female, 33, 1, Urban,R
Hispanic, Female, 31, 0, Suburban,R
Asian, Male, 40, 2, Rural,D
Asian, Female, 25, 0, Rural,R
White, Female, 80, 2, Suburban,R
Hispanic, Female, 58, 0, Rural,D
White, Female, 73, 0, Suburban,D
Asian, Female, 60, 1, Rural,R
Asian, Male, 30, 1, Rural,R
Black, Male, 69, 1, Rural,R
Black, Male, 44, 1, Suburban,R
White, Female, 45, 1, Rural,R
White, Male, 24, 1, Suburban,R
Hispanic, Male, 71, 0, Suburban,R
White, Female, 45, 2, Suburban,R
White, Male, 38, 1, Suburban,D
White, Female, 78, 2, Urban,D
Black, Female, 49, 1, Suburban,D
Hispanic, Female, 27, 2, Suburban,R
Black, Male, 75, 0, Rural,R
Black, Male, 50, 1, Urban,R
Black, Female, 50, 2, Urban,D
Hispanic, Male, 36, 1, Suburban,D
Black, Female, 72, 0, Suburban,D
Black, Female, 39, 1, Urban,R
White, Male, 77, 1, Rural,D
Asian, Male, 72, 2, Suburban,D
White, Female, 78, 0, Suburban,R
Black, Male, 47, 1, Urban,R
White, Male, 61, 1, Suburban,R
Hispanic, Male, 50, 1, Suburban,D
Black, Male, 27, 2, Suburban,R
Hispanic, Male, 37, 0, Urban,R
Asian, Male, 51, 1, Rural,D
Hispanic, Male, 30, 2, Suburban,R
Black, Male, 79, 1, Suburban,R
Asian, Male, 19, 1, Urban,R
Hispanic, Male, 66, 1, Suburban,D
Black, Male, 23, 0, Suburban,R
Asian, Female, 52, 0, Rural,R
Hispanic, Female, 67, 1, Rural,R
Hispanic, Female, 22, 1, Rural,R
Asian, Male, 75, 1, Rural,D
Asian, Male, 56, 2, Rural,D
Hispanic, Female, 42, 1, Rural,D
Black, Male, 32, 2, Rural,D
Black, Male, 53, 1, Urban,R
White, Male, 78, 1, Rural,D
Asian, Female, 62, 2, Rural,R
Asian, Female, 80, 1, Suburban,D
Asian, Female, 27, 0, Suburban,R
Black, Female, 25, 0, Urban,D
White, Female, 18, 0, Rural,D
Asian, Male, 35, 2, Rural,D
Hispanic, Male, 69, 1, Urban,D
Black, Male, 19, 2, Suburban,D
Asian, Female, 51, 2, Rural,R
Asian, Female, 29, 1, Suburban,D
Black, Female, 63, 1, Rural,D
Black, Male, 38, 1, Rural,R
Black, Male, 36, 0, Suburban,D
Asian, Male, 36, 2, Urban,D
Asian, Female, 34, 1, Rural,R
White, Female, 39, 0, Urban,D
Hispanic, Male, 23, 0, Suburban,D
White, Male, 53, 2, Urban,R
White, Female, 59, 0, Suburban,R
Black, Female, 67, 2, Suburban,D
Black, Male, 36, 2, Suburban,R
Asian, Female, 45, 1, Urban,R
White, Male, 31, 1, Urban,D
Black, Male, 50, 0, Urban,R
Hispanic, Female, 63, 1, Suburban,R
Hispanic, Male, 68, 1, Suburban,D
White, Female, 47, 2, Rural,D
White, Female, 48, 2, Urban,R
Black, Male, 73, 1, Suburban,D
Hispanic, Male, 43, 0, Urban,D
Asian, Male, 44, 1, Rural,D
White, Female, 19, 1, Suburban,R
Asian, Male, 66, 2, Rural,D
White, Female, 69, 2, Suburban,D
Hispanic, Female, 25, 2, Urban,R
Black, Female, 37, 0, Urban,R
Black, Female, 33, 0, Urban,D
Asian, Female, 25, 1, Rural,R
Asian, Male, 70, 2, Suburban,D
White, Female, 55, 2, Suburban,D
White, Female, 76, 2, Rural,D
Hispanic, Female, 71, 1, Suburban,D
Black, Male, 62, 1, Suburban,D
Black, Male, 56, 0, Urban,R
Black, Male, 31, 1, Suburban,R
White, Female, 66, 1, Urban,D
Hispanic, Female, 36, 1, Urban,D
Black, Male, 20, 1, Rural,R
Black, Male, 35, 0, Suburban,D
Asian, Female, 70, 0, Urban,R
Asian, Female, 29, 1, Urban,D
White, Female, 49, 0, Urban,D
Black, Female, 34, 1, Urban,R
White, Male, 44, 0, Urban,R
Hispanic, Female, 32, 1, Rural,R
Hispanic, Female, 66, 0, Rural,D
Asian, Male, 65, 0, Suburban,D
White, Female, 79, 1, Rural,D
Black, Male, 47, 0, Suburban,D
Black, Female, 52, 2, Urban,D
Black, Male, 57, 1, Rural,R
White, Female, 80, 1, Urban,R
White, Male, 60, 2, Suburban,D
Black, Female, 80, 2, Urban,D
Asian, Female, 78, 2, Suburban,R
White, Male, 22, 2, Urban,R
Hispanic, Female, 49, 0, Urban,R
Asian, Male, 31, 0, Rural,R
Hispanic, Male, 39, 0, Urban,R
Hispanic, Female, 32, 2, Urban,D
White, Male, 62, 0, Urban,R
Hispanic, Female, 28, 2, Rural,R
Asian, Male, 67, 2, Rural,R
Black, Male, 48, 1, Rural,R
Black, Female, 65, 2, Rural,R
Hispanic, Female, 43, 0, Urban,D
White, Male, 43, 0, Suburban,D
Hispanic, Female, 80, 0, Urban,D
Hispanic, Female, 67, 0, Rural,D
White, Male, 40, 2, Suburban,R
Asian, Male, 79, 1, Urban,R
Asian, Male, 20, 1, Urban,D
White, Male, 43, 2, Suburban,R
White, Female, 77, 0, Urban,R
Black, Male, 75, 0, Rural,R
Hispanic, Male, 28, 2, Suburban,D
Black, Male, 32, 0, Rural,D
Black, Female, 26, 2, Urban,D
Asian, Male, 49, 2, Urban,R
White, Male, 70, 2, Rural,R
Asian, Male, 55, 2, Suburban,D
White, Female, 42, 2, Suburban,D
Hispanic, Male, 49, 2, Urban,D
Black, Male, 46, 2, Suburban,D
Asian, Female, 69, 0, Rural,R
Black, Female, 65, 2, Urban,R
Black, Male, 62, 1, Rural,D
Black, Male, 27, 2, Rural,D
White, Male, 30, 0, Urban,D
Hispanic, Male, 23, 0, Rural,D
Asian, Female, 51, 1, Rural,D
Black, Male, 33, 0, Rural,R
Black, Male, 68, 1, Rural,R
Asian, Female, 35, 2, Rural,D
White, Female, 46, 0, Suburban,D
Asian, Female, 44, 2, Rural,D
Asian, Male, 22, 2, Suburban,D
White, Male, 61, 0, Suburban,D
White, Male, 48, 1, Urban,R
Hispanic, Female, 23, 0, Urban,D
Black, Female, 75, 0, Suburban,R
White, Female, 76, 0, Rural,D
White, Female, 30, 0, Urban,D
White, Male, 69, 2, Rural,R
Asian, Male, 33, 2, Suburban,R
White, Female, 54, 2, Rural,R
Asian, Male, 42, 1, Urban,R
Black, Female, 27, 2, Rural,D
White, Female, 71, 1, Urban,R
Hispanic, Female, 31, 0, Rural,D
Asian, Female, 21, 0, Suburban,D
Black, Male, 26, 2, Rural,D
Asian, Male, 53, 2, Suburban,R
White, Female, 66, 1, Urban,R
Hispanic, Female, 64, 0, Urban,D
Black, Female, 37, 1, Suburban,D
Asian, Male, 57, 1, Urban,R
Asian, Female, 64, 0, Suburban,D
Black, Male, 61, 2, Urban,D
Asian, Female, 39, 1, Rural,R
Asian, Female, 62, 1, Rural,R
Black, Female, 49, 0, Rural,R
Asian, Male, 65, 1, Urban,R
Hispanic, Female, 43, 1, Suburban,D
White, Male, 42, 2, Urban,D
Asian, Male, 75, 0, Suburban,R
Hispanic, Male, 18, 0, Urban,D
White, Female, 50, 0, Suburban,R
White, Female, 73, 1, Rural,R
Hispanic, Female, 20, 2, Rural,D
Hispanic, Male, 60, 2, Rural,D
White, Male, 29, 0, Urban,D
White, Male, 73, 2, Rural,D
Asian, Male, 71, 1, Urban,R
White, Female, 62, 0, Urban,R
Hispanic, Male, 61, 2, Suburban,R
Asian, Female, 52, 2, Suburban,R
Black, Male, 67, 2, Rural,R
Asian, Male, 61, 0, Rural,R
Asian, Male, 80, 0, Suburban,R
Asian, Female, 31, 0, Rural,R
Asian, Female, 20, 1, Suburban,R
Asian, Male, 31, 2, Rural,D
White, Male, 53, 0, Rural,D
Asian, Female, 57, 0, Urban,R
White, Female, 65, 2, Rural,D
White, Male, 38, 0, Urban,D
Black, Female, 73, 0, Urban,D
White, Male, 55, 0, Urban,R
Hispanic, Female, 59, 2, Rural,D
White, Male, 61, 0, Urban,D
Hispanic, Female, 72, 1, Urban,D
Asian, Female, 46, 0, Rural,R
Asian, Male, 61, 2, Urban,D
Black, Male, 53, 2, Urban,D
Hispanic, Female, 54, 0, Urban,R
White, Male, 37, 0, Suburban,R
White, Female, 42, 0, Rural,D
White, Female, 67, 1, Rural,R
White, Male, 79, 0, Rural,R
Hispanic, Male, 61, 0, Rural,D
Hispanic, Female, 78, 1, Urban,R
Black, Male, 19, 1, Urban,R
Black, Male, 27, 2, Suburban,D
Black, Female, 31, 0, Urban,D
White, Female, 29, 2, Rural,R
White, Female, 46, 2, Suburban,D
Asian, Male, 51, 0, Suburban,R
Hispanic, Female, 67, 2, Urban,D
Hispanic, Male, 55, 0, Rural,R
Black, Female, 60, 2, Suburban,D
White, Male, 24, 2, Rural,D
Hispanic, Female, 63, 2, Suburban,R
Black, Female, 57, 1, Rural,R
White, Female, 73, 2, Rural,R
Black, Female, 69, 1, Rural,D
Hispanic, Male, 53, 2, Urban,R
Hispanic, Female, 58, 2, Urban,R
Hispanic, Female, 49, 1, Rural,D
Hispanic, Female, 60, 1, Rural,D
Asian, Male, 26, 1, Suburban,D
Asian, Female, 44, 1, Suburban,R
White, Female, 77, 2, Rural,D
White, Female, 28, 0, Rural,R
Asian, Female, 54, 2, Suburban,R
Hispanic, Female, 42, 2, Suburban,D
Asian, Female, 23, 1, Suburban,D
Black, Male, 20, 2, Suburban,D
Hispanic, Female, 20, 0, Urban,R
Black, Male, 48, 2, Urban,D
White, Female, 72, 2, Rural,D
Asian, Female, 19, 2, Suburban,R
Black, Female, 26, 0, Rural,D
White, Female, 18, 2, Suburban,D
Hispanic, Female, 43, 2, Suburban,R
Asian, Male, 42, 1, Suburban,D
Hispanic, Male, 77, 2, Rural,R
Hispanic, Female, 73, 0, Rural,R
Black, Male, 46, 2, Urban,R
Asian, Male, 34, 2, Urban,D
Asian, Male, 39, 1, Rural,R
Hispanic, Male, 61, 1, Urban,D
Hispanic, Male, 18, 1, Suburban,R
White, Male, 29, 2, Urban,R
Black, Male, 75, 2, Urban,R
Hispanic, Male, 77, 2, Suburban,D
Hispanic, Female, 62, 1, Urban,R
Black, Male, 31, 1, Suburban,D
Asian, Female, 38, 1, Suburban,D
Asian, Female, 77, 1, Rural,R
Asian, Male, 62, 0, Urban,R
Asian, Female, 73, 0, Suburban,R
Asian, Female, 57, 0, Rural,R
Black, Female, 40, 2, Rural,R
White, Female, 78, 2, Suburban,D
Black, Female, 72, 2, Urban,D
Black, Female, 58, 2, Rural,R
Hispanic, Male, 19, 1, Suburban,R
White, Male, 72, 0, Suburban,R
Asian, Male, 71, 1, Urban,D
Hispanic, Male, 65, 0, Rural,D
Asian, Male, 61, 2, Suburban,D
Asian, Male, 80, 2, Rural,D
Hispanic, Female, 42, 2, Urban,R
Asian, Female, 44, 1, Rural,D
Asian, Male, 62, 1, Urban,D
White, Female, 62, 1, Urban,D
Asian, Female, 18, 2, Urban,R
Black, Male, 74, 2, Urban,R
Black, Female, 68, 1, Suburban,D
White, Female, 25, 0, Rural,R
Hispanic, Female, 19, 2, Rural,D
Asian, Male, 60, 0, Rural,D
Hispanic, Male, 77, 0, Suburban,R
Asian, Female, 41, 1, Suburban,R
Hispanic, Male, 70, 0, Suburban,R
Hispanic, Male, 25, 0, Suburban,D
Asian, Female, 45, 1, Suburban,R
White, Male, 18, 2, Rural,D
White, Male, 46, 2, Rural,R
